"ocid","release_id","id","awardID","title","description","status","contractPeriod_startDate","contractPeriod_endDate","contractPeriod_maxExtentDate","contractPeriod_durationInDays","amount","currency","dateSigned"
"ocds-5wno2w-CE-20230002322426-87397","CE-20230002322426-87397-2023-02-02T04:02:25.962Z","CE-20230002322426-contract","CE-20230002322426","","","terminated","","","","","","",""
"ocds-5wno2w-RE-CEP-IGM-001-2023-36136","RE-CEP-IGM-001-2023-36136-2023-02-01T10:32:22.619Z-compiled","2155164-RE-CEP-IGM-001-2023","6193962-RE-CEP-IGM-001-2023","","","terminated","2023-01-25T00:00:00-05:00","2023-02-04T00:00:00-05:00","","10","431945.29","USD","2023-01-25T00:00:00-05:00"
"ocds-5wno2w-CE-20230002321047-409148","CE-20230002321047-409148-2023-02-02T04:01:29.865Z","CE-20230002321047-contract","CE-20230002321047","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321584-115601","CE-20230002321584-115601-2023-02-02T04:01:54.624Z","CE-20230002321584-contract","CE-20230002321584","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321585-115601","CE-20230002321585-115601-2023-02-02T04:01:54.662Z","CE-20230002321585-contract","CE-20230002321585","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321586-115601","CE-20230002321586-115601-2023-02-02T04:01:54.681Z","CE-20230002321586-contract","CE-20230002321586","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321587-115601","CE-20230002321587-115601-2023-02-02T04:01:54.702Z","CE-20230002321587-contract","CE-20230002321587","","","terminated","","","","","","",""
"ocds-5wno2w-RE-DPEO-001-2023-105149","RE-DPEO-001-2023-105149-2023-02-12T10:42:23.239Z-compiled","2156714-RE-DPEO-001-2023","6196692-RE-DPEO-001-2023","","","terminated","2023-02-01T00:00:00-05:00","2023-12-31T00:00:00-05:00","","333","5346.00","USD","2023-02-01T00:00:00-05:00"
"ocds-5wno2w-RE-OACL-GADMM-1-2023-100467","RE-OACL-GADMM-1-2023-100467-2023-02-14T10:32:17.628Z-compiled","2156839-RE-OACL-GADMM-1-2023","6194307-RE-OACL-GADMM-1-2023","","","terminated","2023-02-09T00:00:00-05:00","2023-02-24T00:00:00-05:00","","15","16964.00","USD","2023-02-09T00:00:00-05:00"
"ocds-5wno2w-CE-20230002321588-115601","CE-20230002321588-115601-2023-02-02T04:01:54.722Z","CE-20230002321588-contract","CE-20230002321588","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321589-115601","CE-20230002321589-115601-2023-02-02T04:01:54.742Z","CE-20230002321589-contract","CE-20230002321589","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321590-115601","CE-20230002321590-115601-2023-02-02T04:01:54.762Z","CE-20230002321590-contract","CE-20230002321590","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321591-115601","CE-20230002321591-115601-2023-02-02T04:01:54.788Z","CE-20230002321591-contract","CE-20230002321591","","","terminated","","","","","","",""
"ocds-5wno2w-RE-PU-EPMTP-001-2023-1032968","RE-PU-EPMTP-001-2023-1032968-2023-02-09T10:37:49.141Z-compiled","2156187-RE-PU-EPMTP-001-2023","6194805-RE-PU-EPMTP-001-2023","","","terminated","2023-02-02T00:00:00-05:00","2025-02-01T00:00:00-05:00","","730","66.00","USD","2023-02-02T00:00:00-05:00"
"ocds-5wno2w-RE-PU-HAIAM-01-2023-67972","RE-PU-HAIAM-01-2023-67972-2023-02-24T10:51:35.983Z-compiled","2157779-RE-PU-HAIAM-01-2023","6197742-RE-PU-HAIAM-01-2023","","","terminated","2023-02-17T00:00:00-05:00","2023-02-20T00:00:00-05:00","","3","500.00","USD","2023-02-17T00:00:00-05:00"
"ocds-5wno2w-CE-20230002321592-115601","CE-20230002321592-115601-2023-02-02T04:01:54.804Z","CE-20230002321592-contract","CE-20230002321592","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321593-115601","CE-20230002321593-115601-2023-02-02T04:01:54.822Z","CE-20230002321593-contract","CE-20230002321593","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322427-87397","CE-20230002322427-87397-2023-02-02T04:02:25.980Z","CE-20230002322427-contract","CE-20230002322427","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321594-115601","CE-20230002321594-115601-2023-02-02T04:01:54.839Z","CE-20230002321594-contract","CE-20230002321594","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321596-115601","CE-20230002321596-115601-2023-02-02T04:01:55.050Z","CE-20230002321596-contract","CE-20230002321596","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321597-115601","CE-20230002321597-115601-2023-02-02T04:01:55.068Z","CE-20230002321597-contract","CE-20230002321597","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321598-115601","CE-20230002321598-115601-2023-02-02T04:01:55.082Z","CE-20230002321598-contract","CE-20230002321598","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321599-115601","CE-20230002321599-115601-2023-02-02T04:01:55.097Z","CE-20230002321599-contract","CE-20230002321599","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321600-115601","CE-20230002321600-115601-2023-02-02T04:01:55.118Z","CE-20230002321600-contract","CE-20230002321600","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321601-115601","CE-20230002321601-115601-2023-02-02T04:01:55.145Z","CE-20230002321601-contract","CE-20230002321601","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321602-115601","CE-20230002321602-115601-2023-02-02T04:01:55.162Z","CE-20230002321602-contract","CE-20230002321602","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321603-115601","CE-20230002321603-115601-2023-02-02T04:01:55.178Z","CE-20230002321603-contract","CE-20230002321603","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321604-115601","CE-20230002321604-115601-2023-02-02T04:01:55.201Z","CE-20230002321604-contract","CE-20230002321604","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321605-115601","CE-20230002321605-115601-2023-02-02T04:01:55.224Z","CE-20230002321605-contract","CE-20230002321605","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321606-115601","CE-20230002321606-115601-2023-02-02T04:01:55.239Z","CE-20230002321606-contract","CE-20230002321606","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321607-115601","CE-20230002321607-115601-2023-02-02T04:01:55.255Z","CE-20230002321607-contract","CE-20230002321607","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322415-87397","CE-20230002322415-87397-2023-02-02T04:02:25.757Z","CE-20230002322415-contract","CE-20230002322415","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322416-87397","CE-20230002322416-87397-2023-02-02T04:02:25.779Z","CE-20230002322416-contract","CE-20230002322416","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322417-87397","CE-20230002322417-87397-2023-02-02T04:02:25.794Z","CE-20230002322417-contract","CE-20230002322417","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322418-87397","CE-20230002322418-87397-2023-02-02T04:02:25.810Z","CE-20230002322418-contract","CE-20230002322418","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322419-87397","CE-20230002322419-87397-2023-02-02T04:02:25.826Z","CE-20230002322419-contract","CE-20230002322419","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322420-87397","CE-20230002322420-87397-2023-02-02T04:02:25.843Z","CE-20230002322420-contract","CE-20230002322420","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322421-87397","CE-20230002322421-87397-2023-02-02T04:02:25.860Z","CE-20230002322421-contract","CE-20230002322421","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322422-87397","CE-20230002322422-87397-2023-02-02T04:02:25.885Z","CE-20230002322422-contract","CE-20230002322422","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322423-87397","CE-20230002322423-87397-2023-02-02T04:02:25.903Z","CE-20230002322423-contract","CE-20230002322423","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322424-87397","CE-20230002322424-87397-2023-02-02T04:02:25.921Z","CE-20230002322424-contract","CE-20230002322424","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322425-87397","CE-20230002322425-87397-2023-02-02T04:02:25.945Z","CE-20230002322425-contract","CE-20230002322425","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322428-87397","CE-20230002322428-87397-2023-02-02T04:02:26.004Z","CE-20230002322428-contract","CE-20230002322428","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322429-87397","CE-20230002322429-87397-2023-02-02T04:02:26.018Z","CE-20230002322429-contract","CE-20230002322429","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322430-87397","CE-20230002322430-87397-2023-02-02T04:02:26.043Z","CE-20230002322430-contract","CE-20230002322430","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322431-87397","CE-20230002322431-87397-2023-02-02T04:02:26.069Z","CE-20230002322431-contract","CE-20230002322431","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002322432-87397","CE-20230002322432-87397-2023-02-02T04:02:26.093Z","CE-20230002322432-contract","CE-20230002322432","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002325212-131684","CE-20230002325212-131684-2023-02-02T04:04:42.059Z","CE-20230002325212-contract","CE-20230002325212","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002325913-56835","CE-20230002325913-56835-2023-02-02T04:05:42.859Z","CE-20230002325913-contract","CE-20230002325913","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002326485-872499","CE-20230002326485-872499-2023-02-02T04:06:19.526Z","CE-20230002326485-contract","CE-20230002326485","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002326512-542207","CE-20230002326512-542207-2023-02-02T04:06:20.452Z","CE-20230002326512-contract","CE-20230002326512","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002326633-561373","CE-20230002326633-561373-2023-02-02T04:06:28.006Z","CE-20230002326633-contract","CE-20230002326633","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002326696-4081","CE-20230002326696-4081-2023-02-02T04:06:34.449Z","CE-20230002326696-contract","CE-20230002326696","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002326788-2583","CE-20230002326788-2583-2023-02-02T04:06:48.317Z","CE-20230002326788-contract","CE-20230002326788","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002326789-49178","CE-20230002326789-49178-2023-02-02T04:06:48.337Z","CE-20230002326789-contract","CE-20230002326789","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002326807-100288","CE-20230002326807-100288-2023-02-02T04:06:51.491Z","CE-20230002326807-contract","CE-20230002326807","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002326854-100055","CE-20230002326854-100055-2023-02-02T04:06:55.698Z","CE-20230002326854-contract","CE-20230002326854","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002326997-2810","CE-20230002326997-2810-2023-02-02T04:07:10.674Z","CE-20230002326997-contract","CE-20230002326997","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002326998-2810","CE-20230002326998-2810-2023-02-02T04:07:10.692Z","CE-20230002326998-contract","CE-20230002326998","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002326999-2810","CE-20230002326999-2810-2023-02-02T04:07:10.711Z","CE-20230002326999-contract","CE-20230002326999","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327000-2810","CE-20230002327000-2810-2023-02-02T04:07:10.724Z","CE-20230002327000-contract","CE-20230002327000","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327001-2810","CE-20230002327001-2810-2023-02-02T04:07:10.733Z","CE-20230002327001-contract","CE-20230002327001","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327004-2810","CE-20230002327004-2810-2023-02-02T04:07:10.745Z","CE-20230002327004-contract","CE-20230002327004","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327021-2810","CE-20230002327021-2810-2023-02-02T04:07:10.755Z","CE-20230002327021-contract","CE-20230002327021","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327022-2810","CE-20230002327022-2810-2023-02-02T04:07:10.769Z","CE-20230002327022-contract","CE-20230002327022","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327023-100010","CE-20230002327023-100010-2023-02-02T04:07:10.788Z","CE-20230002327023-contract","CE-20230002327023","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327044-2810","CE-20230002327044-2810-2023-02-02T04:07:10.808Z","CE-20230002327044-contract","CE-20230002327044","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327045-2810","CE-20230002327045-2810-2023-02-02T04:07:10.824Z","CE-20230002327045-contract","CE-20230002327045","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327046-2810","CE-20230002327046-2810-2023-02-02T04:07:10.844Z","CE-20230002327046-contract","CE-20230002327046","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327047-2810","CE-20230002327047-2810-2023-02-02T04:07:10.863Z","CE-20230002327047-contract","CE-20230002327047","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327048-2810","CE-20230002327048-2810-2023-02-02T04:07:10.883Z","CE-20230002327048-contract","CE-20230002327048","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327049-2810","CE-20230002327049-2810-2023-02-02T04:07:10.897Z","CE-20230002327049-contract","CE-20230002327049","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327050-2810","CE-20230002327050-2810-2023-02-02T04:07:10.913Z","CE-20230002327050-contract","CE-20230002327050","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327051-2810","CE-20230002327051-2810-2023-02-02T04:07:10.930Z","CE-20230002327051-contract","CE-20230002327051","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327059-2810","CE-20230002327059-2810-2023-02-02T04:07:10.946Z","CE-20230002327059-contract","CE-20230002327059","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327060-2810","CE-20230002327060-2810-2023-02-02T04:07:10.964Z","CE-20230002327060-contract","CE-20230002327060","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327061-2810","CE-20230002327061-2810-2023-02-02T04:07:10.976Z","CE-20230002327061-contract","CE-20230002327061","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327062-2810","CE-20230002327062-2810-2023-02-02T04:07:10.990Z","CE-20230002327062-contract","CE-20230002327062","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327064-2810","CE-20230002327064-2810-2023-02-02T04:07:11.004Z","CE-20230002327064-contract","CE-20230002327064","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327065-2810","CE-20230002327065-2810-2023-02-02T04:07:11.021Z","CE-20230002327065-contract","CE-20230002327065","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327066-2810","CE-20230002327066-2810-2023-02-02T04:07:11.040Z","CE-20230002327066-contract","CE-20230002327066","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327067-2810","CE-20230002327067-2810-2023-02-02T04:07:11.053Z","CE-20230002327067-contract","CE-20230002327067","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327097-2810","CE-20230002327097-2810-2023-02-02T04:07:11.358Z","CE-20230002327097-contract","CE-20230002327097","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327068-2727","CE-20230002327068-2727-2023-02-02T04:07:11.073Z","CE-20230002327068-contract","CE-20230002327068","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327069-2810","CE-20230002327069-2810-2023-02-02T04:07:11.092Z","CE-20230002327069-contract","CE-20230002327069","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327071-2810","CE-20230002327071-2810-2023-02-02T04:07:11.113Z","CE-20230002327071-contract","CE-20230002327071","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327072-236348","CE-20230002327072-236348-2023-02-02T04:07:11.125Z","CE-20230002327072-contract","CE-20230002327072","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327073-2810","CE-20230002327073-2810-2023-02-02T04:07:11.143Z","CE-20230002327073-contract","CE-20230002327073","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327074-2810","CE-20230002327074-2810-2023-02-02T04:07:11.154Z","CE-20230002327074-contract","CE-20230002327074","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327075-2810","CE-20230002327075-2810-2023-02-02T04:07:11.172Z","CE-20230002327075-contract","CE-20230002327075","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327076-2810","CE-20230002327076-2810-2023-02-02T04:07:11.186Z","CE-20230002327076-contract","CE-20230002327076","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327077-2810","CE-20230002327077-2810-2023-02-02T04:07:11.197Z","CE-20230002327077-contract","CE-20230002327077","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327078-2810","CE-20230002327078-2810-2023-02-02T04:07:11.213Z","CE-20230002327078-contract","CE-20230002327078","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327079-2810","CE-20230002327079-2810-2023-02-02T04:07:11.224Z","CE-20230002327079-contract","CE-20230002327079","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327090-2810","CE-20230002327090-2810-2023-02-02T04:07:11.238Z","CE-20230002327090-contract","CE-20230002327090","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327091-2810","CE-20230002327091-2810-2023-02-02T04:07:11.257Z","CE-20230002327091-contract","CE-20230002327091","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327092-2810","CE-20230002327092-2810-2023-02-02T04:07:11.274Z","CE-20230002327092-contract","CE-20230002327092","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327093-2810","CE-20230002327093-2810-2023-02-02T04:07:11.297Z","CE-20230002327093-contract","CE-20230002327093","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327094-2810","CE-20230002327094-2810-2023-02-02T04:07:11.315Z","CE-20230002327094-contract","CE-20230002327094","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327095-2810","CE-20230002327095-2810-2023-02-02T04:07:11.330Z","CE-20230002327095-contract","CE-20230002327095","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327096-2810","CE-20230002327096-2810-2023-02-02T04:07:11.344Z","CE-20230002327096-contract","CE-20230002327096","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327098-2810","CE-20230002327098-2810-2023-02-02T04:07:11.371Z","CE-20230002327098-contract","CE-20230002327098","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327099-2810","CE-20230002327099-2810-2023-02-02T04:07:11.389Z","CE-20230002327099-contract","CE-20230002327099","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327100-80443","CE-20230002327100-80443-2023-02-02T04:07:11.406Z","CE-20230002327100-contract","CE-20230002327100","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327101-80443","CE-20230002327101-80443-2023-02-02T04:07:11.431Z","CE-20230002327101-contract","CE-20230002327101","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327102-80443","CE-20230002327102-80443-2023-02-02T04:07:11.448Z","CE-20230002327102-contract","CE-20230002327102","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327103-80443","CE-20230002327103-80443-2023-02-02T04:07:11.473Z","CE-20230002327103-contract","CE-20230002327103","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327104-80443","CE-20230002327104-80443-2023-02-02T04:07:11.497Z","CE-20230002327104-contract","CE-20230002327104","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327105-80443","CE-20230002327105-80443-2023-02-02T04:07:11.515Z","CE-20230002327105-contract","CE-20230002327105","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327106-80443","CE-20230002327106-80443-2023-02-02T04:07:11.530Z","CE-20230002327106-contract","CE-20230002327106","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327107-80443","CE-20230002327107-80443-2023-02-02T04:07:11.546Z","CE-20230002327107-contract","CE-20230002327107","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327108-80443","CE-20230002327108-80443-2023-02-02T04:07:11.562Z","CE-20230002327108-contract","CE-20230002327108","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327109-80443","CE-20230002327109-80443-2023-02-02T04:07:11.578Z","CE-20230002327109-contract","CE-20230002327109","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327110-2810","CE-20230002327110-2810-2023-02-02T04:07:11.591Z","CE-20230002327110-contract","CE-20230002327110","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327111-2810","CE-20230002327111-2810-2023-02-02T04:07:11.611Z","CE-20230002327111-contract","CE-20230002327111","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327112-2810","CE-20230002327112-2810-2023-02-02T04:07:11.629Z","CE-20230002327112-contract","CE-20230002327112","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327113-2810","CE-20230002327113-2810-2023-02-02T04:07:11.644Z","CE-20230002327113-contract","CE-20230002327113","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327114-54077","CE-20230002327114-54077-2023-02-02T04:07:11.657Z","CE-20230002327114-contract","CE-20230002327114","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327115-2810","CE-20230002327115-2810-2023-02-02T04:07:11.683Z","CE-20230002327115-contract","CE-20230002327115","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327116-2810","CE-20230002327116-2810-2023-02-02T04:07:11.705Z","CE-20230002327116-contract","CE-20230002327116","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327117-2810","CE-20230002327117-2810-2023-02-02T04:07:11.727Z","CE-20230002327117-contract","CE-20230002327117","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327118-154505","CE-20230002327118-154505-2023-02-02T04:07:11.743Z","CE-20230002327118-contract","CE-20230002327118","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327119-2810","CE-20230002327119-2810-2023-02-02T04:07:11.762Z","CE-20230002327119-contract","CE-20230002327119","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327120-2810","CE-20230002327120-2810-2023-02-02T04:07:11.776Z","CE-20230002327120-contract","CE-20230002327120","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327121-2810","CE-20230002327121-2810-2023-02-02T04:07:11.790Z","CE-20230002327121-contract","CE-20230002327121","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327122-2810","CE-20230002327122-2810-2023-02-02T04:07:11.809Z","CE-20230002327122-contract","CE-20230002327122","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327123-2810","CE-20230002327123-2810-2023-02-02T04:07:11.821Z","CE-20230002327123-contract","CE-20230002327123","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327125-117178","CE-20230002327125-117178-2023-02-02T04:07:11.833Z","CE-20230002327125-contract","CE-20230002327125","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327142-2810","CE-20230002327142-2810-2023-02-02T04:07:11.850Z","CE-20230002327142-contract","CE-20230002327142","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327143-2810","CE-20230002327143-2810-2023-02-02T04:07:11.862Z","CE-20230002327143-contract","CE-20230002327143","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327144-2810","CE-20230002327144-2810-2023-02-02T04:07:11.875Z","CE-20230002327144-contract","CE-20230002327144","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327145-2810","CE-20230002327145-2810-2023-02-02T04:07:11.884Z","CE-20230002327145-contract","CE-20230002327145","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327146-2810","CE-20230002327146-2810-2023-02-02T04:07:11.893Z","CE-20230002327146-contract","CE-20230002327146","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327147-20900","CE-20230002327147-20900-2023-02-02T04:07:11.905Z","CE-20230002327147-contract","CE-20230002327147","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327148-20900","CE-20230002327148-20900-2023-02-02T04:07:11.937Z","CE-20230002327148-contract","CE-20230002327148","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327149-20900","CE-20230002327149-20900-2023-02-02T04:07:11.963Z","CE-20230002327149-contract","CE-20230002327149","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327150-20900","CE-20230002327150-20900-2023-02-02T04:07:11.995Z","CE-20230002327150-contract","CE-20230002327150","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327151-20900","CE-20230002327151-20900-2023-02-02T04:07:12.020Z","CE-20230002327151-contract","CE-20230002327151","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327152-20900","CE-20230002327152-20900-2023-02-02T04:07:12.044Z","CE-20230002327152-contract","CE-20230002327152","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327153-20900","CE-20230002327153-20900-2023-02-02T04:07:12.062Z","CE-20230002327153-contract","CE-20230002327153","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327154-20900","CE-20230002327154-20900-2023-02-02T04:07:12.087Z","CE-20230002327154-contract","CE-20230002327154","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327192-2810","CE-20230002327192-2810-2023-02-02T04:07:12.107Z","CE-20230002327192-contract","CE-20230002327192","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327193-2810","CE-20230002327193-2810-2023-02-02T04:07:12.129Z","CE-20230002327193-contract","CE-20230002327193","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327194-2810","CE-20230002327194-2810-2023-02-02T04:07:12.146Z","CE-20230002327194-contract","CE-20230002327194","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327195-2810","CE-20230002327195-2810-2023-02-02T04:07:12.162Z","CE-20230002327195-contract","CE-20230002327195","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327196-2810","CE-20230002327196-2810-2023-02-02T04:07:12.176Z","CE-20230002327196-contract","CE-20230002327196","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327197-2810","CE-20230002327197-2810-2023-02-02T04:07:12.191Z","CE-20230002327197-contract","CE-20230002327197","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327198-2810","CE-20230002327198-2810-2023-02-02T04:07:12.205Z","CE-20230002327198-contract","CE-20230002327198","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327199-2810","CE-20230002327199-2810-2023-02-02T04:07:12.214Z","CE-20230002327199-contract","CE-20230002327199","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327200-2810","CE-20230002327200-2810-2023-02-02T04:07:12.223Z","CE-20230002327200-contract","CE-20230002327200","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327201-2810","CE-20230002327201-2810-2023-02-02T04:07:12.237Z","CE-20230002327201-contract","CE-20230002327201","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327218-2810","CE-20230002327218-2810-2023-02-02T04:07:12.250Z","CE-20230002327218-contract","CE-20230002327218","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327219-2810","CE-20230002327219-2810-2023-02-02T04:07:12.261Z","CE-20230002327219-contract","CE-20230002327219","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327265-2764","CE-20230002327265-2764-2023-02-02T04:07:12.273Z","CE-20230002327265-contract","CE-20230002327265","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327266-2764","CE-20230002327266-2764-2023-02-02T04:07:12.292Z","CE-20230002327266-contract","CE-20230002327266","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327287-2764","CE-20230002327287-2764-2023-02-02T04:07:12.638Z","CE-20230002327287-contract","CE-20230002327287","","","active","","","","","","",""
"ocds-5wno2w-CE-20230002327267-2764","CE-20230002327267-2764-2023-02-02T04:07:12.312Z","CE-20230002327267-contract","CE-20230002327267","","","active","","","","","","",""
