"ocid","release_id","id","title","description","status","date","amount","currency","correctedValue_amount","correctedValue_currency","enteredValue_amount","enteredValue_currency","contractPeriod_startDate","contractPeriod_endDate","contractPeriod_maxExtentDate","contractPeriod_durationInDays"
"ocds-5wno2w-LICS-GADMCA-001-2023-2653","LICS-GADMCA-001-2023-2653-2023-02-17T10:46:26.185Z-compiled","6201175-LICS-GADMCA-001-2023","","Adjudicar el proceso de licitación de seguros signado con el Código N LICSGADMCA-001-2023, para la ?CONTRATACIÓN DE PÓLIZA DE SEGUROSTODO RIESGO DE INCENDIO Y LÍNEAS ALIADAS, ROBO, EQUIPOELECTRÓNICO, VEHÍCULOS EQUIPO Y MAQUINARIA, ROTURA DEMAQUINARIA, RESPONSABILIDAD CIVIL Y CASCO BUQUE, CASCO AEREOPARA LOS BIENES MUNICIPALES, Y POLIZAS DE FIDELIDAD PUBLICA Y SEGURODE VIDA PARA LOS SERVIDORES Y TRABAJADORES DEL GOBIERNOAUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN AGUARICO?, ala compañía ASEGURADORA DEL SUR C.A. CON RUC N 0190123626001, porun valor de USD 80,753.12 Ochenta mil setecientos cincuenta y tres con 12/100dólares de los Estados Unidos de Norteamérica más IVA, con un plazo deejecución de 365 días calendarios contados desde las 12:00 el 27 de febrero de2023.","","2023-02-16T17:23:25-05:00","17248.90","USD","","","","","","","",""
"ocds-5wno2w-LICS-GADMCA-001-2023-2653","LICS-GADMCA-001-2023-2653-2023-02-17T10:46:26.185Z-compiled","6201176-LICS-GADMCA-001-2023","","Adjudicar el proceso de licitación de seguros signado con el Código N LICSGADMCA-001-2023, para la ?CONTRATACIÓN DE PÓLIZA DE SEGUROSTODO RIESGO DE INCENDIO Y LÍNEAS ALIADAS, ROBO, EQUIPOELECTRÓNICO, VEHÍCULOS EQUIPO Y MAQUINARIA, ROTURA DEMAQUINARIA, RESPONSABILIDAD CIVIL Y CASCO BUQUE, CASCO AEREOPARA LOS BIENES MUNICIPALES, Y POLIZAS DE FIDELIDAD PUBLICA Y SEGURODE VIDA PARA LOS SERVIDORES Y TRABAJADORES DEL GOBIERNOAUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN AGUARICO?, ala compañía ASEGURADORA DEL SUR C.A. CON RUC N 0190123626001, porun valor de USD 80,753.12 Ochenta mil setecientos cincuenta y tres con 12/100dólares de los Estados Unidos de Norteamérica más IVA, con un plazo deejecución de 365 días calendarios contados desde las 12:00 el 27 de febrero de2023.","","2023-02-16T17:23:14-05:00","17185.34","USD","","","","","","","",""
"ocds-5wno2w-LICS-GADMCA-001-2023-2653","LICS-GADMCA-001-2023-2653-2023-02-17T10:46:26.185Z-compiled","6201177-LICS-GADMCA-001-2023","","Adjudicar el proceso de licitación de seguros signado con el Código N LICSGADMCA-001-2023, para la ?CONTRATACIÓN DE PÓLIZA DE SEGUROSTODO RIESGO DE INCENDIO Y LÍNEAS ALIADAS, ROBO, EQUIPOELECTRÓNICO, VEHÍCULOS EQUIPO Y MAQUINARIA, ROTURA DEMAQUINARIA, RESPONSABILIDAD CIVIL Y CASCO BUQUE, CASCO AEREOPARA LOS BIENES MUNICIPALES, Y POLIZAS DE FIDELIDAD PUBLICA Y SEGURODE VIDA PARA LOS SERVIDORES Y TRABAJADORES DEL GOBIERNOAUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN AGUARICO?, ala compañía ASEGURADORA DEL SUR C.A. CON RUC N 0190123626001, porun valor de USD 80,753.12 Ochenta mil setecientos cincuenta y tres con 12/100dólares de los Estados Unidos de Norteamérica más IVA, con un plazo deejecución de 365 días calendarios contados desde las 12:00 el 27 de febrero de2023.","","2023-02-16T17:22:52-05:00","626.00","USD","","","","","","","",""
"ocds-5wno2w-LICS-GADMCA-001-2023-2653","LICS-GADMCA-001-2023-2653-2023-02-17T10:46:26.185Z-compiled","6201179-LICS-GADMCA-001-2023","","Adjudicar el proceso de licitación de seguros signado con el Código N LICSGADMCA-001-2023, para la ?CONTRATACIÓN DE PÓLIZA DE SEGUROSTODO RIESGO DE INCENDIO Y LÍNEAS ALIADAS, ROBO, EQUIPOELECTRÓNICO, VEHÍCULOS EQUIPO Y MAQUINARIA, ROTURA DEMAQUINARIA, RESPONSABILIDAD CIVIL Y CASCO BUQUE, CASCO AEREOPARA LOS BIENES MUNICIPALES, Y POLIZAS DE FIDELIDAD PUBLICA Y SEGURODE VIDA PARA LOS SERVIDORES Y TRABAJADORES DEL GOBIERNOAUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN AGUARICO?, ala compañía ASEGURADORA DEL SUR C.A. CON RUC N 0190123626001, porun valor de USD 80,753.12 Ochenta mil setecientos cincuenta y tres con 12/100dólares de los Estados Unidos de Norteamérica más IVA, con un plazo deejecución de 365 días calendarios contados desde las 12:00 el 27 de febrero de2023.","","2023-02-16T17:22:28-05:00","23471.04","USD","","","","","","","",""
"ocds-5wno2w-LICS-GADMCA-001-2023-2653","LICS-GADMCA-001-2023-2653-2023-02-17T10:46:26.185Z-compiled","6201182-LICS-GADMCA-001-2023","","Adjudicar el proceso de licitación de seguros signado con el Código N LICSGADMCA-001-2023, para la ?CONTRATACIÓN DE PÓLIZA DE SEGUROSTODO RIESGO DE INCENDIO Y LÍNEAS ALIADAS, ROBO, EQUIPOELECTRÓNICO, VEHÍCULOS EQUIPO Y MAQUINARIA, ROTURA DEMAQUINARIA, RESPONSABILIDAD CIVIL Y CASCO BUQUE, CASCO AEREOPARA LOS BIENES MUNICIPALES, Y POLIZAS DE FIDELIDAD PUBLICA Y SEGURODE VIDA PARA LOS SERVIDORES Y TRABAJADORES DEL GOBIERNOAUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN AGUARICO?, ala compañía ASEGURADORA DEL SUR C.A. CON RUC N 0190123626001, porun valor de USD 80,753.12 Ochenta mil setecientos cincuenta y tres con 12/100dólares de los Estados Unidos de Norteamérica más IVA, con un plazo deejecución de 365 días calendarios contados desde las 12:00 el 27 de febrero de2023.","","2023-02-16T17:22:14-05:00","2503.00","USD","","","","","","","",""
"ocds-5wno2w-LICS-GADMCA-001-2023-2653","LICS-GADMCA-001-2023-2653-2023-02-17T10:46:26.185Z-compiled","6201186-LICS-GADMCA-001-2023","","Adjudicar el proceso de licitación de seguros signado con el Código N LICSGADMCA-001-2023, para la ?CONTRATACIÓN DE PÓLIZA DE SEGUROSTODO RIESGO DE INCENDIO Y LÍNEAS ALIADAS, ROBO, EQUIPOELECTRÓNICO, VEHÍCULOS EQUIPO Y MAQUINARIA, ROTURA DEMAQUINARIA, RESPONSABILIDAD CIVIL Y CASCO BUQUE, CASCO AEREOPARA LOS BIENES MUNICIPALES, Y POLIZAS DE FIDELIDAD PUBLICA Y SEGURODE VIDA PARA LOS SERVIDORES Y TRABAJADORES DEL GOBIERNOAUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN AGUARICO?, ala compañía ASEGURADORA DEL SUR C.A. CON RUC N 0190123626001, porun valor de USD 80,753.12 Ochenta mil setecientos cincuenta y tres con 12/100dólares de los Estados Unidos de Norteamérica más IVA, con un plazo deejecución de 365 días calendarios contados desde las 12:00 el 27 de febrero de2023.","","2023-02-16T17:22:03-05:00","8068.02","USD","","","","","","","",""
"ocds-5wno2w-LICS-GADMCA-001-2023-2653","LICS-GADMCA-001-2023-2653-2023-02-17T10:46:26.185Z-compiled","6201187-LICS-GADMCA-001-2023","","Adjudicar el proceso de licitación de seguros signado con el Código N LICSGADMCA-001-2023, para la ?CONTRATACIÓN DE PÓLIZA DE SEGUROSTODO RIESGO DE INCENDIO Y LÍNEAS ALIADAS, ROBO, EQUIPOELECTRÓNICO, VEHÍCULOS EQUIPO Y MAQUINARIA, ROTURA DEMAQUINARIA, RESPONSABILIDAD CIVIL Y CASCO BUQUE, CASCO AEREOPARA LOS BIENES MUNICIPALES, Y POLIZAS DE FIDELIDAD PUBLICA Y SEGURODE VIDA PARA LOS SERVIDORES Y TRABAJADORES DEL GOBIERNOAUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN AGUARICO?, ala compañía ASEGURADORA DEL SUR C.A. CON RUC N 0190123626001, porun valor de USD 80,753.12 Ochenta mil setecientos cincuenta y tres con 12/100dólares de los Estados Unidos de Norteamérica más IVA, con un plazo deejecución de 365 días calendarios contados desde las 12:00 el 27 de febrero de2023.","","2023-02-16T17:21:48-05:00","6864.08","USD","","","","","","","",""
"ocds-5wno2w-LICS-GADMCA-001-2023-2653","LICS-GADMCA-001-2023-2653-2023-02-17T10:46:26.185Z-compiled","6201189-LICS-GADMCA-001-2023","","Adjudicar el proceso de licitación de seguros signado con el Código N LICSGADMCA-001-2023, para la ?CONTRATACIÓN DE PÓLIZA DE SEGUROSTODO RIESGO DE INCENDIO Y LÍNEAS ALIADAS, ROBO, EQUIPOELECTRÓNICO, VEHÍCULOS EQUIPO Y MAQUINARIA, ROTURA DEMAQUINARIA, RESPONSABILIDAD CIVIL Y CASCO BUQUE, CASCO AEREOPARA LOS BIENES MUNICIPALES, Y POLIZAS DE FIDELIDAD PUBLICA Y SEGURODE VIDA PARA LOS SERVIDORES Y TRABAJADORES DEL GOBIERNOAUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN AGUARICO?, ala compañía ASEGURADORA DEL SUR C.A. CON RUC N 0190123626001, porun valor de USD 80,753.12 Ochenta mil setecientos cincuenta y tres con 12/100dólares de los Estados Unidos de Norteamérica más IVA, con un plazo deejecución de 365 días calendarios contados desde las 12:00 el 27 de febrero de2023.","","2023-02-16T17:23:02-05:00","1432.65","USD","","","","","","","",""
"ocds-5wno2w-LICS-GADMCA-001-2023-2653","LICS-GADMCA-001-2023-2653-2023-02-17T10:46:26.185Z-compiled","6201191-LICS-GADMCA-001-2023","","Adjudicar el proceso de licitación de seguros signado con el Código N LICSGADMCA-001-2023, para la ?CONTRATACIÓN DE PÓLIZA DE SEGUROSTODO RIESGO DE INCENDIO Y LÍNEAS ALIADAS, ROBO, EQUIPOELECTRÓNICO, VEHÍCULOS EQUIPO Y MAQUINARIA, ROTURA DEMAQUINARIA, RESPONSABILIDAD CIVIL Y CASCO BUQUE, CASCO AEREOPARA LOS BIENES MUNICIPALES, Y POLIZAS DE FIDELIDAD PUBLICA Y SEGURODE VIDA PARA LOS SERVIDORES Y TRABAJADORES DEL GOBIERNOAUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN AGUARICO?, ala compañía ASEGURADORA DEL SUR C.A. CON RUC N 0190123626001, porun valor de USD 80,753.12 Ochenta mil setecientos cincuenta y tres con 12/100dólares de los Estados Unidos de Norteamérica más IVA, con un plazo deejecución de 365 días calendarios contados desde las 12:00 el 27 de febrero de2023.","","2023-02-16T17:22:41-05:00","126.74","USD","","","","","","","",""
"ocds-5wno2w-CE-20230002322426-87397","CE-20230002322426-87397-2023-02-02T04:02:25.962Z","CE-20230002322426","","","active","","2.69","USD","","","","","","","",""
